HABITAT,STRESSOR,SUBREGION,E_MEAN,E_MIN,E_MAX,C_MEAN,C_MIN,C_MAX,R_MEAN,R_MIN,R_MAX,R_%HIGH,R_%MEDIUM,R_%LOW
eelgrass,(FROM ALL STRESSORS),ClaySound,0.09266374364650126,0.0,0.7075404,0.5612571487609717,0.40384614,1.0268724,0.10432712336143049,0.0,0.6645578,0.0,0.0,100.0
eelgrass,(FROM ALL STRESSORS),BarkleySound,0.18454102067659522,0.0,1.1732754,0.6794967929947806,0.5192307,1.45431,0.1553149074751307,0.0,0.84111536,0.0,0.0,100.0
eelgrass,Docks_Wharves_Marinas,ClaySound,0.041852914153052555,0.0,1.4545455,0.10100456743979816,0.0,2.05,0.04025951358054182,0.0,1.2135692,0.0,0.9752198241406874,99.02478017585932
eelgrass,Docks_Wharves_Marinas,BarkleySound,0.0801431717171525,0.0,1.4545455,0.2065464194352578,0.0,2.2,0.09448084510870082,0.0,1.361043,0.0,2.8237585199610513,97.17624148003895
eelgrass,Finfish_Aquaculture_Comm,ClaySound,0.016852983372579282,0.0,1.9090909,0.027193382318071325,0.0,1.4782609,0.006834119953792825,0.0,1.0895307,0.0,0.14388489208633093,99.85611510791367
eelgrass,Finfish_Aquaculture_Comm,BarkleySound,0.005386698907631165,0.0,1.0991322,0.011514240253749353,0.0,1.4242331,0.002923620478435988,0.0,0.4620887,0.0,0.0,100.0
eelgrass,Rec_Fishing,ClaySound,0.5333320779289654,0.0,2.6363637,0.47361794707300564,0.0,1.8333333,0.3433862323288342,0.0,1.9477285,0.0,16.882494004796165,83.11750599520383
eelgrass,Rec_Fishing,BarkleySound,0.43058154877808447,0.0,2.6363637,0.47185067099744876,0.0,1.9583333,0.2887749718366138,0.0,2.0113676,4.33300876338851,9.006815968841284,86.6601752677702
eelgrass,Shellfish_Aquaculture_Comm,ClaySound,0.03933828035228067,0.0,1.75,0.06786008784525115,0.0,2.0416665,0.026828651519702207,0.0,1.3614385,0.0,0.7673860911270983,99.2326139088729
eelgrass,Shellfish_Aquaculture_Comm,BarkleySound,0.2871724047934765,0.0,1.75,0.43986242678752774,0.0,2.1666665,0.2350801850479557,0.0,1.471075,0.0,12.706913339824732,87.29308666017526
hardbottom,(FROM ALL STRESSORS),ClaySound,0.1501286431465874,0.0,0.30051816,0.7113715209529898,0.5192307,0.9038461,0.24431916633874376,0.0,0.5028419,0.0,0.0,100.0
hardbottom,(FROM ALL STRESSORS),BarkleySound,0.1126728160860027,0.0,1.0352331,0.6566830981484956,0.5192307,1.3461537,0.15999972424583309,0.0,0.82319057,0.0,0.0,100.0
hardbottom,Docks_Wharves_Marinas,ClaySound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
hardbottom,Docks_Wharves_Marinas,BarkleySound,0.013706541913121376,0.0,1.4545455,0.0363036284232976,0.0,2.2,0.01644239508130166,0.0,1.361043,0.0,0.498470601563385,99.50152939843662
hardbottom,Finfish_Aquaculture_Comm,ClaySound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
hardbottom,Finfish_Aquaculture_Comm,BarkleySound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
hardbottom,Rec_Fishing,ClaySound,1.3170377767569723,0.0,2.6363637,1.0428844197199292,0.0,1.9583333,0.977276665354975,0.0,2.0113676,40.64714946070878,8.546481766820751,50.806368772470464
hardbottom,Rec_Fishing,BarkleySound,0.8854551210508241,0.0,2.6363637,0.8652624851455997,0.0,1.9583333,0.6076808958398239,0.0,2.0113676,14.931460292285035,14.161096635323439,70.90744307239153
hardbottom,Shellfish_Aquaculture_Comm,ClaySound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
hardbottom,Shellfish_Aquaculture_Comm,BarkleySound,0.01890565203709219,0.0,1.75,0.038867500702477055,0.0,2.1666665,0.015875592593146273,0.0,1.471075,0.0,0.4418262150220913,99.55817378497791
kelp,(FROM ALL STRESSORS),ClaySound,0.09400150178445843,0.0,0.6476684,0.631819350459833,0.5192307,1.0565989,0.13541474537343792,0.0,0.5806792,0.0,0.0,100.0
kelp,(FROM ALL STRESSORS),BarkleySound,0.15736546764639392,0.0,0.36088645,0.7202649050903573,0.5192307,0.9038461,0.24917841139459485,0.0,0.5028419,0.0,0.0,100.0
kelp,Docks_Wharves_Marinas,ClaySound,0.009121667641545839,0.0,1.4545455,0.016885395567019214,0.0,2.2,0.009188701468198798,0.0,1.361043,0.0,0.6657156443176415,99.33428435568236
kelp,Docks_Wharves_Marinas,BarkleySound,0.0005680021066564463,0.0,0.2818534,0.005703279130971084,0.0,1.5147082,0.0018291076551381726,0.0,0.54593045,0.0,0.0,100.0
kelp,Finfish_Aquaculture_Comm,ClaySound,0.04286405737491885,0.0,1.9090909,0.04157990044318547,0.0,1.6086956,0.025903649971817315,0.0,1.1604207,0.0,1.759391345696624,98.24060865430337
kelp,Finfish_Aquaculture_Comm,BarkleySound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
kelp,Rec_Fishing,ClaySound,0.7214605764043485,0.0,2.6363637,0.6485186316997621,0.0,1.9583333,0.5036492454285741,0.0,2.0113676,14.455539705183071,10.699001426533524,74.84545886828342
kelp,Rec_Fishing,BarkleySound,1.3748220448784867,0.0,2.6363637,1.1604486763951634,0.0,1.9583333,0.9939373582996803,0.0,2.0113676,30.702917771883286,21.087533156498676,48.209549071618035
kelp,Shellfish_Aquaculture_Comm,ClaySound,0.003522403343371193,0.0,0.875,0.007981119414368982,0.0,1.6458333,0.002917341884408063,0.0,0.6850096,0.0,0.0,100.0
kelp,Shellfish_Aquaculture_Comm,BarkleySound,0.0012217349019543878,0.0,0.96737623,0.0022192655887148423,0.0,1.7008191,0.0009471753547931539,0.0,0.7433309,0.0,0.0,100.0
softbottom,(FROM ALL STRESSORS),ClaySound,0.10366149458911954,0.0,0.90628386,0.6316450308179611,0.5192307,1.1493062,0.13615740108079252,0.0,0.7220373,0.0,0.0,100.0
softbottom,(FROM ALL STRESSORS),BarkleySound,0.13419005588811656,0.0,1.5884459,0.6496443635411978,0.5192307,1.5381945,0.1393667859011949,0.0,1.2338037,0.0,0.05095454854269991,99.9490454514573
softbottom,Docks_Wharves_Marinas,ClaySound,0.008952450742923331,0.0,1.9999999,0.01951058129876086,0.0,2.2,0.009032359630983176,0.0,1.656804,0.0,0.2537739816412651,99.74622601835873
softbottom,Docks_Wharves_Marinas,BarkleySound,0.03804551810785451,0.0,2.5454545,0.06598156500675811,0.0,2.2,0.03233835583625989,0.0,2.0753272,0.05774848834839323,0.9851212718255317,98.95713023982607
softbottom,Finfish_Aquaculture_Comm,ClaySound,0.1056147930674273,0.0,1.9090909,0.1489193147575688,0.0,1.6086956,0.058308708323571344,0.0,1.1604207,0.0,1.4849403268608885,98.51505967313912
softbottom,Finfish_Aquaculture_Comm,BarkleySound,0.011099978579848962,0.0,1.9090909,0.01728261101058793,0.0,1.6086956,0.006268699610230877,0.0,1.1604207,0.0,0.10530606698824647,99.89469393301175
softbottom,Rec_Fishing,ClaySound,0.6363687291911,0.0,2.6363637,0.5670097199612609,0.0,1.9583333,0.4551984795589306,0.0,2.0113676,15.738337272872286,6.39510433735988,77.86655838976783
softbottom,Rec_Fishing,BarkleySound,0.5872715073958777,0.0,2.6363637,0.5830772298049227,0.0,1.9583333,0.4021856497953715,0.0,2.0113676,9.902167266798017,9.018955092057885,81.0788776411441
softbottom,Shellfish_Aquaculture_Comm,ClaySound,0.026811210096732072,0.0,1.75,0.04963123397485281,0.0,2.1666665,0.022090028929242604,0.0,1.471075,0.0,0.7453704375063444,99.25462956249366
softbottom,Shellfish_Aquaculture_Comm,BarkleySound,0.1402972921323125,0.0,1.75,0.26060281304271904,0.0,2.1666665,0.11667439043299159,0.0,1.471075,0.0,4.286976017392486,95.71302398260751
